"board_id","name","description","print_priority"
"1","BD_001_Softcover","BD_001_Softcover","28"
"2","BD_002_05.75x08.25","BD_002_05.75x08.25","3"
"3","BD_003_05.75x04.25","BD_003_05.75x04.25","29"
"4","BD_004_05.75x06.25","BD_004_05.75x06.25","24"
"5","BD_005_06.45x05.00","BD_005_06.45x05.00","27"
"6","BD_006_06.95x05.00","BD_006_06.95x05.00","32"
"7","BD_007_07.12x10.00","BD_007_07.12x10.00","10"
"8","BD_008_07.50x08.00","BD_008_07.50x08.00","22"
"9","BD_009_07.78x08.25","BD_009_07.78x08.25","2"
"10","BD_010_07.86x08.50","BD_010_07.86x08.50","21"
"11","BD_011_07.98x11.00","BD_011_202mmx279","13"
"12","BD_012_08.25x11.25","MIXM-US Letter 8.75x11.25","12"
"13","BD_013_08.25x08.75","BD_013_08.25x08.75","20"
"14","BD_014_08.36x11.38","BD_014_08.36x11.38","11"
"15","BD_015_08.36x08.88","BD_015_08.36x08.88","19"
"16","BD_016_08.75x07.25","BD_016_08.75x07.25","23"
"17","BD_017_09.34x10.00","BD_017_09.34x10.00","9"
"18","BD_018_09.54x10.00","BD_018_09.54x10.00","8"
"19","BD_019_09.68x10.00","BD_019_09.68x10.00","7"
"20","BD_020_09.75x10.25","BD_020_09.75x10.25","1"
"21","BD_021_10.39x08.50","BD_021_10.39x08.50","18"
"22","BD_022_10.50x08.50","BD_022_10.50x08.50","33"
"23","BD_023_10.51x08.50","BD_023_10.51x08.50","17"
"24","BD_024_10.68x08.50","BD_024_10.68x08.50","34"
"25","BD_025_10.75x08.75","HC_025_10.75x08.75","15"
"26","BD_026_10.86x08.88","BD_026_10.86x08.88","14"
"27","BD_027_11.13x08.50","BD_027_11.13x08.50","16"
"28","BD_028_11.31x12.00","BD_028_11.31x12.00","6"
"29","BD_029_11.51x12.00","BD_029_11.51x12.00","5"
"30","BD_030_11.65x12.04","BD_030_11.65x12.04","4"
"31","BD_031_05.50x6.00","BD_031_05.50x6.00","26"
"32","BD_032_07.625x6.125","BD_032_07.625x6.125","25"
"35","BD_035_5.25x8.75","MIXM-Digest Size P 5.75x8.75","35"
"36","BD_036_8.25x5.75","MIXM-Digest Size L 8.75x5.75","36"
"37","BD_037_07.75x08.25","BD_037_07.75x08.25","37"
"38","BD_038_5.75x9.25","MIXM-US Trade 6.25x9.25","38"
"39","BD_039_8.75x6.25","MIXM-US Trade Landscape 9.25x6.25","39"
"40","BD_040_05.00x07.25","BD_040_05.00x07.25 (Chatbook Month Book)","40"
"41","BD_041_06.75x09.25","MIXAM_07.25x09.25","41"
"42","BD_042_07.00x09.75","MIXAM_07.50x09.75","42"
"43","BD_043_09.25x07.50","MIXAM_09.75x07.50_Landscape","43"
"44","BD_044_04.00x07.12","MIXAM_PocketSize_04.50x07.12","44"
"45","BD_045_06.67x04.50","MIXAM_PocketSize_07.12x04.50_Landscape","45"
"46","BD_046_08.02x11.94","MIXAM_A4_08.52x11.94","46"
"47","BD_047_11.44x8.52","MIXAM_A4_11.94x08.52","47"
"48","BD_048_5.58x8.52","MIXAM_A5","48"
"49","BD_049_8.02x6.08","MIXAM_A5_Landscape","49"
"50","BD_050_07.75x10.25","MIXAM_07.75x10.25","50"
"51","BD_051_9.75x8.25","MIXAM_10.25x08.25_Landscape","51"
"52","BD_052_06.75x010.25","MIXAM_07.25x10.25","52"
"53","BD_053_09.75x07.25","MIXAM_10.25x07.25_Landscape","53"
"54","BD_054_07.25x07.75","MIXAM_07.75x07.75_Square","54"
"55","BD_055_11.55x12.05","MIXAM_12.05x12.05_Square","55"
"56","BD_056_05.89x09.46","MIXAM_06.39x09.46","56"
"57","BD_057_08.96x06.39","MIXAM_09.46x06.39","57"
"58","BD_058_07.19x09.93","MIXAM_07.69x09.93","58"
"59","BD_059_09.43x07.69","MIXAM_09.43x07.69","59"
"60","BD_060_08.75x12.25","Entourage_08.75x12.25","60"
"61","BD_061_11.75x09.25","Entourage_11.75x09.25","61"
"62","BD_062_10.75x11.25","BigDot_10.75x11.25 (11.25x11.25 CoverSize)","62"
